"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location","followers_count"
"Tue Dec 12 23:12:29 +0000 2023","1734712857374363867","@ICX_rajasa @prabowo MUNAFIK kalau gak gilak jabatan!! Ngapain Nyapres Berkali kali... Skr Menghalalkan Segala Cara Sama si asam sulfat @gibran_tweet . Nebeng Nama Jokowi..... Dan si asal sulfatnya sendiri manusia karbitan!! cuma bisa nyengir doang..","0","0","1","2","in","1603536307531108352","1734593088277139471","EppoyNich","https://twitter.com/EppoyNich/status/1734712857374363867","","Indonesia","980"
"Tue Dec 12 23:48:20 +0000 2023","1734721880928735558","@AmaluddinSSili1 @bangZhack86 Jangan pilih Prabowo Gibran selesai urusan #hening","0","1","0","2","in","780554097388687360","1734617916170002823","asboediono_id","https://twitter.com/asboediono_id/status/1734721880928735558","","Hazelwood Court, Flinders ","13105"
"Tue Dec 12 23:42:14 +0000 2023","1734720345587024208","@asboediono_id @Ge1Te Ngakak liat dek Gibran berdiri sambil manas manasin penonton buat teriak. Soryyy yaaa.... Sory....  Kontestasi Pilpres koq rasa lomba 17an sih.","0","0","0","3","in","3112052178","1734717040559259880","dedeesetya","https://twitter.com/dedeesetya/status/1734720345587024208","","","726"
"Tue Dec 12 20:59:03 +0000 2023","1734679279940805041","@PartaiSocmed no 3 dpt 38% darimana????  palestina debat paslon asam sulfat nagita raffi Adiba hamas Rohingya depok capres gemoy Gibran mega jokowi prabowo banjir  anies ganjar Gibran israel Gaza","0","0","0","1","in","1317084070468177920","1734607949614706907","NurilHiLma2022","https://twitter.com/NurilHiLma2022/status/1734679279940805041","","","526"
"Tue Dec 12 23:59:13 +0000 2023","1734724617196208575","@GRUNGE_GO @gibran_tweet swallow itu artinya nelan yaa?","0","1","0","4","in","1466651308102877187","1734710414351413336","papa_loren","https://twitter.com/papa_loren/status/1734724617196208575","","~#","33219"
"Tue Dec 12 23:40:26 +0000 2023","1734719893134823444","@Naz_lira Perilaku @gibran_tweet seperti ini level SLTA paling tinggi. Kalaupun jadi pemimpin  ya ketua OSIS  karang taruna  ketua geng motor. Emosinya masih belum terkendali  wibawanya belum teruji. Ibu dan ayahnya nggak sabar  nyarikan kerjaan u anak kok wapres  anaknya jadi stress.","0","2","6","39","in","992735968200347649","1734705441635004566","Syaifud30457221","https://twitter.com/Syaifud30457221/status/1734719893134823444","","Kota Medan, Sumatera Utara","927"
"Tue Dec 12 23:12:52 +0000 2023","1734712954363207827","@BoysAlaziz28 @kumparan Yang pilih prabowo gibran ga punya otak  Awokwokwokwok.","0","0","0","8","in","1603664849891835906","1734582287914926519","AkarTo6e","https://twitter.com/AkarTo6e/status/1734712954363207827","","Di  Dalam Toples","10"
"Tue Dec 12 23:13:45 +0000 2023","1734713177869574175","@yaniarsim @gibran_tweet Jd gk sabar nunggu hidangan blimbing sayur.. 🤣","0","0","0","3","in","1354194240","1734703966598893620","Joehan_d","https://twitter.com/Joehan_d/status/1734713177869574175","","","1114"
"Tue Dec 12 23:18:21 +0000 2023","1734714336718000208","@GreatAdjie @AbdHali59646742 Iri tuch si Gibran sm anies iri sm rupanya yg ganteng sm iri kepinterannya anies itu liatnya 👍👍👍😅","0","0","0","5","in","1321314974476611585","1734657096698962259","adja_lila","https://twitter.com/adja_lila/status/1734714336718000208","","","28"
"Tue Dec 12 21:54:42 +0000 2023","1734693283941798175","@KompasTV Dia berdiri ditengah sehingga terjepit oleh kiri kanannya  kasihan Gibran kalau dia punya hati pasti terluka sangat dalam  Dia korban ambisi orang tuanya  kalau saya seperti dia mungkin saya sudah gila karena perasaan tertekan yang menghimpitnya 😏","0","0","0","10","in","1001252203745591298","1734611732499513701","Haerudi50699673","https://twitter.com/Haerudi50699673/status/1734693283941798175","","","11"
"Tue Dec 12 20:06:48 +0000 2023","1734666128356741337","@ariefrasyad 😁 ...... bukan gitu sepertinya  gibran bilang  "tolong bilangin ke pak mahfud  nanti jangan susah2 pertanyaannya." ....... "ga janji ya bro  bersaing sehat aja" jawab alam 😊😊😊","0","1","0","1","in","1067127607043342337","1734600743653687583","endonesiatwit","https://twitter.com/endonesiatwit/status/1734666128356741337","","Indonesia","306"
"Tue Dec 12 22:23:33 +0000 2023","1734700543640322404","@nongandah @gibran_tweet NORAK..BANGET nih anaknya sapa sih?...liat aja besok jatah cawapres ...debat apa masih semangat kaya gini.","0","0","0","6","in","2468642390","1734596720603136222","marsonom97","https://twitter.com/marsonom97/status/1734700543640322404","","DKI Jakarta, Indonesia","1325"
"Tue Dec 12 23:00:12 +0000 2023","1734709766805668227","Terpopuler: Anies Sindir Pemerintah  Janji Gibran ke Tionghoa  Polisi Rampok Ratusan Juta https://t.co/ewOtV5OUhh","0","1","0","2","in","41730943","1734709766805668227","VIVAcoid","https://twitter.com/VIVAcoid/status/1734709766805668227","","","4741361"
"Tue Dec 12 23:35:29 +0000 2023","1734718645362897311","@ankandery_ @RidNgemil @prabowo @jokowi @gibran_tweet @yaniarsim @Malika6027 Wih akun gw ditag  asal2an?jadi terharu gw😄gw tanggapi sesuai template junjungan anda  biarkan rakyat yg menilai😄btw uda nonton debat belum?","0","0","0","1","in","224431376","1734346023282372968","5t3v3n_P3g3L","https://twitter.com/5t3v3n_P3g3L/status/1734718645362897311","","Planeta Rica, Colombia","19179"
